Make,Model,Ex-Showroom_Price,Displacement,Cylinders,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Type
Bmw,7-Series,13510000,2993,6.0,"Front, Longitudinal",78.0,Diesel,Sedan,Automatic
Bmw,7-Series,13510000,2998,6.0,"Front, Longitudinal",78.0,Petrol,Sedan,Automatic
Bmw,7-Series,16500000,2998,6.0,"Front, Longitudinal",46.0,Hybrid,Sedan,Automatic
Bmw,7-Series,24250000,6592,12.0,"Front, Longitudinal",78.0,Petrol,Sedan,Automatic
Audi,Q8,13359500,2995,4.0,"Front, Longitudinal",85.0,Petrol,SUV,Automatic
Mercedes,Mercedes-Benz S-Class,13558438,2987,6.0,"Front, Longitudinal",90.0,Diesel,Sedan,Automatic
Mercedes,Mercedes-Benz S-Class,13976653,2996,6.0,"Front, Longitudinal",70.0,Petrol,Sedan,Automatic
Mercedes,Mercedes-Benz S-Class,25500000,3982,8.0,"Front, Longitudinal",80.0,Petrol,Coupe,Automatic
Maserati,Levante,14512054,2987,6.0,"Front, Longitudinal",80.0,Diesel,SUV,Automatic
Maserati,Levante,14863774,2979,6.0,"Front, Longitudinal",80.0,Diesel,SUV,Automatic
Maserati,Levante,15383399,2979,6.0,"Front, Longitudinal",80.0,Diesel,SUV,Automatic
Mercedes,Mercedes-Benz G-Class,21875136,3982,8.0,"Front, Longitudinal",96.0,Petrol,SUV,Automatic
Mercedes,Mercedes-Benz G-Class,15000000,2925,6.0,"Front, Longitudinal",100.0,Diesel,SUV,Automatic
Audi,A8 L,15600000,2995,8.0,"Front, Longitudinal",82.0,Petrol,Sedan,Automatic
Maserati,Granturismo,17229579,4691,8.0,"Front, Longitudinal",86.0,Petrol,Coupe,Automatic
Maserati,Quattroporte,17900000,2987,6.0,"Front, Longitudinal",70.0,Diesel,Sports,Automatic
Lexus,Lc 500H,19600000,3456,6.0,"Front, Transverse",82.0,Hybrid,Coupe,Automatic
Mercedes,Mercedes-Benz Maybach,27308312,5980,12.0,"Front, Longitudinal",80.0,Petrol,Sedan,Automatic
Mercedes,Mercedes-Benz Maybach,19890000,4663,8.0,"Front, Longitudinal",80.0,Petrol,Sedan,Automatic
Porsche,Panamera,21263000,3996,8.0,"Front, Longitudinal",90.0,Petrol,Sedan,Automatic
Porsche,Panamera,22613000,3996,8.0,"Front, Longitudinal",90.0,Petrol,Sedan,Automatic
Porsche,Panamera,21747000,3996,8.0,"Front, Longitudinal",90.0,Petrol,Sedan,Automatic
Lexus,Lx 450D,23290000,4461,0.0,"Front, Transverse",93.0,Diesel,SUV,Automatic
Mercedes,Mercedes-Benz S-Class Cabriolet,23491293,4663,8.0,"Front, Longitudinal",80.0,Petrol,Convertible,Automatic
Audi,R8,27245000,5204,10.0,"Mid, Longitudinal",75.0,Petrol,Coupe,Automatic
Lamborghini,Urus,30000000,3996,8.0,0,75.0,Petrol,SUV,Automatic
Bentley,Continental Gt,33791059,5998,12.0,"Front, Longitudinal",90.0,Petrol,Coupe,Automatic
Ferrari,Portofino,35000000,3855,8.0,"Front, Longitudinal",92.0,Petrol,Convertible,Automatic
Bentley,Bentayga,45941557,5950,12.0,"Front, Longitudinal",85.0,Petrol,SUV,Automatic
Bentley,Bentayga,37542069,3996,12.0,"Front, Longitudinal",85.0,Petrol,SUV,Automatic
Aston Martin,Db 11,40456503,5198,12.0,"Rear, Transverse",80.0,Petrol,Coupe,Automatic
Ferrari,458 Speciale,42531500,4497,8.0,"Front, Longitudinal",86.0,Petrol,Coupe,Automatic
Rolls-Royce,Rolls-Royce Ghost Series Ii,46709733,6593,12.0,"Front, Longitudinal",82.5,Petrol,Sedan,Automatic
Rolls-Royce,Rolls-Royce Ghost Series Ii,53247201,6592,12.0,"Front, Longitudinal",82.5,Petrol,Sedan,Automatic
Rolls-Royce,Rolls-Royce Wraith,50025840,6592,12.0,"Front, Transverse",83.0,Petrol,Coupe,Automatic
Bentley,Mulsanne,52571294,6752,8.0,"Front, Longitudinal",90.0,Petrol,Sedan,Automatic
Rolls-Royce,Rolls-Royce Cullinan,69500000,6750,12.0,"Front, Transverse",0.0,Petrol,SUV,Automatic
Rolls-Royce,Rolls-Royce Phantom Coupe,77312661,6749,12.0,"Front, Longitudinal",100.0,Petrol,Coupe,Automatic
Bugatti,Chiron,192142937,7993,16.0,"Mid, Transverse",0.0,Petrol,Sports,Automatic
Bugatti,Chiron,212155397,7993,16.0,"Mid, Transverse",0.0,Petrol,Sports,Automatic
Bajaj,Qute (Re60),263000,216,0.0,"Front, Transverse",0.0,Petrol,Hatchback,Manual
Bajaj,Qute (Re60),283000,216,0.0,"Front, Transverse",0.0,CNG,Hatchback,Manual
Maruti Suzuki,Alto,294800,796,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Alto,299900,796,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Alto,352900,796,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Alto,357200,796,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Alto,376100,796,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Alto,405570,796,3.0,"Front, Transverse",35.0,CNG + Petrol,Hatchback,Manual
Maruti Suzuki,Alto,409190,796,3.0,"Front, Transverse",35.0,CNG + Petrol,Hatchback,Manual
Maruti Suzuki,Alto,389600,796,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,S-Presso,370500,998,3.0,"Front, Transverse",27.0,Petrol,Hatchback,Manual
Maruti Suzuki,S-Presso,376500,998,3.0,"Front, Transverse",27.0,Petrol,Hatchback,Manual
Maruti Suzuki,S-Presso,409000,998,3.0,"Front, Transverse",27.0,Petrol,Hatchback,Manual
Maruti Suzuki,S-Presso,415000,998,3.0,"Front, Transverse",27.0,Petrol,Hatchback,Manual
Maruti Suzuki,S-Presso,432500,998,3.0,"Front, Transverse",27.0,Petrol,Hatchback,Manual
Maruti Suzuki,S-Presso,438500,998,3.0,"Front, Transverse",27.0,Petrol,Hatchback,Manual
Maruti Suzuki,S-Presso,475500,998,3.0,"Front, Transverse",27.0,Petrol,Hatchback,AMT
Maruti Suzuki,S-Presso,456000,998,3.0,"Front, Transverse",27.0,Petrol,Hatchback,Manual
Maruti Suzuki,S-Presso,481500,998,3.0,"Front, Transverse",27.0,Petrol,Hatchback,AMT
Maruti Suzuki,S-Presso,499000,998,3.0,"Front, Transverse",27.0,Petrol,Hatchback,AMT
Maruti Suzuki,Celerio,426289,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Celerio,465138,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Celerio,508138,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Automatic
Maruti Suzuki,Celerio,490924,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Celerio,531279,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Celerio,530000,998,3.0,"Front, Transverse",35.0,CNG,Hatchback,Manual
Maruti Suzuki,Celerio,533924,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Automatic
Maruti Suzuki,Celerio,434659,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Celerio,472257,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Celerio,515257,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Automatic
Maruti Suzuki,Celerio,543279,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Automatic
Hyundai,Grand I10 Prime,551530,1120,3.0,"Front, Transverse",43.0,Diesel,Hatchback,Manual
Hyundai,Grand I10 Prime,568930,1120,3.0,"Front, Transverse",43.0,Diesel,Hatchback,Manual
Hyundai,Grand I10 Prime,460369,1197,4.0,"Front, Transverse",43.0,Petrol,Hatchback,Manual
Hyundai,Grand I10 Prime,477511,1197,4.0,"Front, Transverse",43.0,Petrol,Hatchback,Manual
Hyundai,Grand I10 Prime,545946,1197,4.0,"Front, Transverse",43.0,CNG,Hatchback,Manual
Hyundai,Grand I10 Prime,528804,1197,4.0,"Front, Transverse",43.0,CNG,Hatchback,Manual
Mahindra,Kuv100 Nxt,488194,1198,3.0,"Front, Longitudinal",35.0,Petrol,Hatchback,Manual
Mahindra,Kuv100 Nxt,532184,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Mahindra,Kuv100 Nxt,590798,1198,3.0,"Front, Transverse",35.0,Diesel,Hatchback,Manual
Mahindra,Kuv100 Nxt,619243,1198,3.0,"Front, Transverse",35.0,Diesel,Hatchback,Manual
Mahindra,Kuv100 Nxt,667273,1198,3.0,"Front, Transverse",35.0,Diesel,Hatchback,Manual
Mahindra,Kuv100 Nxt,579645,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Mahindra,Kuv100 Nxt,631144,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
